species_id,species,discovered,variety,common_name,functional_group,functional_group2,order,family,clade1,clade2,clade3,clade4,region
50,Melastoma sanguineum,,,Red melastome,shrub,Shrubs,Myrtales,Melastomataceae,Tracheophytes,Angiosperms,Eudicots,Rosids,"Malay, Vietnam, South china, Indomesia"
51,Onobrychis viciifolia,,,Common sainfoin,grass/herb,Forbs,Fabales,Fabaceae,Tracheophytes,Angiosperms,Eudicots,Rosids,"Europe, middle east"
52,Ophiopogon bodinieri,,,Chinese lilyurf,grass/herb,Forbs,Asparagales,Asparagaceae,Tracheophytes,Angiosperms,Monocots,,"China, bhutan"
53,Ostrya carpinifolia,Scop.,,Hop hornbeam,tree,Broadleaves,Fagales,Betulaceae,Tracheophytes,Angiosperms,Eudicots,Rosids,Europe
54,Parrotia persica,,,Persian ironwood,tree,Broadleaves,Saxifragales,Hamamelidaceae,Tracheophytes,Angiosperms,Eudicots,,"Iran, capspian sea"
55,Peltophorum pterocarpum,,,Yellow poinciana,tree,Broadleaves,Fabales,Fabaceae,Tracheophytes,Angiosperms,Eudicots,Rosids,SE Asia
56,Pennisetum pedicellatum,,,Desho grass,grass/herb,Grasses,Poales,Poaceae,Tracheophytes,Angiosperms,Monocots,Commelinids,Etheopian highlands
57,Pennisetum polystachion,,,Mission grass,grass/herb,Grasses,Poales,Poaceae,Tracheophytes,Angiosperms,Monocots,Commelinids,Tropical africa
58,Picea abies,L.,,Norway spruce,tree,Conifers,Pinales,Pinaceae,Tracheophytes,Gymnospermae,,,"N, C and E Europe"
59,Picea sitchensis,,,Sitka spruce,tree,Conifers,Pinales,Pinaceae,Tracheophytes,Gymnospermae,,,West coast NA
60,Pinus nigra,Arnold,Austriaca,Austrian pine,tree,Conifers,Pinales,Pinaceae,Tracheophytes,Gymnospermae,,,"S Europe, Med"
61,Pinus palustris,Mill.,,Longleaf pine,tree,Conifers,Pinales,Pinaceae,Tracheophytes,Gymnospermae,,,SE US
62,Pinus pinaster,Ait.,,Maritime pine,tree,Conifers,Pinales,Pinaceae,Tracheophytes,Gymnospermae,,,"S Atlantic Europe, western Med"
63,Pinus pseudostrobus,,,Smooth-bark Mexican pine,tree,Conifers,Pinales,Pinaceae,Tracheophytes,Gymnospermae,,,"Mex, Central america"
64,Pinus tabulaeformis,,,Chinese red pine,tree,Conifers,Pinales,Pinaceae,Tracheophytes,Gymnospermae,,,"N China, Korea"
65,Pistacia lentiscus,,,Mastic,shrub,Shrubs,Sapindales,Anacardiaceae,Tracheophytes,Angiosperms,Eudicots,Rosids,Med
66,Plantago lanceolata,,,Ribwort Plantain,grass/herb,Forbs,Lamiales,Plantaginaceae,Tracheophytes,Angiosperms,Eudicots,Asterids,temperate eurasia
67,Poa pratensis,,,Kentucky bluegrass,grass/herb,Grasses,Poales,Poaceae,Tracheophytes,Angiosperms,Monocots,Commelinids,"EU, N Asia, N Afr mountains"
68,Polystichum munitum,,,Sword fern,fern,Forbs,Polypodiales,Polypodiineae,Tracheophytes,,,,NA pacific coast
69,Populus x euramericana,,Veronese,Veronese poplar,tree,Broadleaves,Malpighiales,Salicaceae,Tracheophytes,Angiosperms,Eudicots,Rosids,
70,Pseudotsuga menziesii,,,Douglas fir,tree,Conifers,Pinales,Pinaceae,Tracheophytes,Gymnospermae,,,NA pacific coast
71,Pterocarpus indicus,,,Narra,tree,Broadleaves,Fabales,Fabaceae,Tracheophytes,Angiosperms,Eudicots,Rosids,"SE Asia, northern Australasia, west pacific"
72,Pyracantha fortuneana,,,Chinese firethorn,shrub,Shrubs,Rosales,Rosaceae,Tracheophytes,Angiosperms,Eudicots,Rosids,Central china
73,Quercus mongolica,,,Mongolian oak,tree,Broadleaves,Fagales,Fagaceae,Tracheophytes,Angiosperms,Eudicots,Rosids,"Japan, China, Korea, Mongolia, Siberia"
74,Quercus robur,,,English oak,tree,Broadleaves,Fagales,Fagaceae,Tracheophytes,Angiosperms,Eudicots,Rosids,"Europe, west Asia"
75,Quercus rysophylla,,,Loquat leaf oak,tree,Broadleaves,Fagales,Fagaceae,Tracheophytes,Angiosperms,Eudicots,Rosids,Mexican
76,Randia dumetorum,,,Mountain pomegranate,tree,Broadleaves,Gentianales,Rubiaceae,Tracheophytes,Angiosperms,Eudicots,Asterids,South asia
77,Reevesia thyrsoidea,,,Bunch-like reevesia,tree,Broadleaves,,Sterculiaceae,Tracheophytes,Angiosperms,Eudicots,Rosids,SE Asia
78,Rhodomyrtus tomentosa,,,Rose myrtle,shrub,Shrubs,Myrtales,Myrtaceae,Tracheophytes,Angiosperms,Eudicots,Rosids,S SE Asia
79,Ribes nigrum,,,Blackcurrant,shrub,Shrubs,Saxifragales,Grossulariaceae,Tracheophytes,Angiosperms,Eudicots,,"temperate C N Europe, N Asia"
80,Robinia pseudoacacia,,,Black locust,tree,Broadleaves,Fabales,Fabaceae,Tracheophytes,Angiosperms,Eudicots,Rosids,"NA, EU, S Af, Asia"
81,Rosa canina,L.,,Dog rose,shrub,Shrubs,Rosales,Rosaceae,Tracheophytes,Angiosperms,Eudicots,Rosids,"EU, NW Af, W Asia"
82,Rosmarinus officinalis,,,Rosemary,shrub,Shrubs,Lamiales,Lamiaceae,Tracheophytes,Angiosperms,Eudicots,Asterids,Med
83,Rubus discolor,,,Himalayan blackberry,shrub,Shrubs,Rosales,Rosaceae,Tracheophytes,Angiosperms,Eudicots,Rosids,"Armenia, Iran, naturalised elsewhere"
84,Rubus parviflorus,,,Thimbleberry,shrub,Shrubs,Rosales,Rosaceae,Tracheophytes,Angiosperms,Eudicots,Rosids,temperate N Am
85,Salix nigra,,,Black willow,tree,Broadleaves,Malpighiales,Salicaceae,Tracheophytes,Angiosperms,Eudicots,Rosids,N Am
86,Salix viminalis,,Tora,Basket willow,shrub,Shrubs,Malpighiales,Salicaceae,Tracheophytes,Angiosperms,Eudicots,Rosids,"EU, W Asia"
87,Sambucus caerulea,,,Blue elderberry,shrub,Shrubs,Dipsacales,Adoxaceae,Tracheophytes,Angiosperms,Eudicots,Asterids,"W US, NW mexico"
88,Sanguisorba minor,,,Salad burnet,grass/herb,Forbs,Rosales,Rosaceae,Tracheophytes,Angiosperms,Eudicots,Rosids,"W, C, S EU, NW Af, SW Asia, Siberia"
89,Schefflera arboricola,,,Dwarf umbrella tree,shrub,Shrubs,Apiales,Araliaceae,Tracheophytes,Angiosperms,Eudicots,Asterids,"China, taiwan"
90,Schefflera heptaphylla,,,Ivy tree,tree,Broadleaves,Apiales,Araliaceae,Tracheophytes,Angiosperms,Eudicots,Asterids,tropical
91,Sesbania cannabina,Merr.,,Prickly sesban,shrub,Shrubs,Fabales,Fabaceae,Tracheophytes,Angiosperms,Eudicots,Rosids,"tropical, subtropical"
92,Spartium junceum,L.,,Spanish broom,shrub,Shrubs,Fabales,Fabaceae,Tracheophytes,Angiosperms,Eudicots,Rosids,"Med, SW Asoa, NW Af"
93,Symplocos setchuenensis,Brand,,Szechuan sweetleaf,tree,Broadleaves,Ericales,Symplocaceae,Tracheophytes,Angiosperms,Eudicots,Asterids,"china, subtropical"
94,Syranga oblata,,,Broadleaf lilac,shrub,Shrubs,Lamiales,Oleaceae,Tracheophytes,Angiosperms,Eudicots,Asterids,china
95,Trifolium pratense,,,Red clover,grass/herb,Forbs,Fabales,Fabaceae,Tracheophytes,Angiosperms,Eudicots,Rosids,"EU, W Asoa, NW Af"
96,Trifolium repens,,,White clover,grass/herb,Forbs,Fabales,Fabaceae,Tracheophytes,Angiosperms,Eudicots,Rosids,"EU, C Asia"
97,Tsuga heterophylla,,,Western hemlock,tree,Conifers,Pinales,Pinaceae,Tracheophytes,Gymnospermae,,,NW coast NA
98,Ulex europaeus,L.,,Gorse,shrub,Shrubs,Fabales,Fabaceae,Tracheophytes,Angiosperms,Eudicots,Rosids,"EU, Am, NZ, S Af, Aus"
99,Vitex negundo,L.,heterophylla,Chinese chastetree,shrub,Shrubs,Lamiales,Lamiaceae,Tracheophytes,Angiosperms,Eudicots,Asterids,tropical A S Af + Asia
100,Vicia villosa,,,Hairy vetch,grass/herb,Forbs,Fabales,Fabaceae,Tracheophytes,Angiosperms,Eudicots,Rosids,US + Can
101,Zea mays,,,Maize,grass/herb,Grasses,Poales,Poaceae,Tracheophytes,Angiosperms,Monocots,Commelinids,Mex
102,Fagus sylvatica,,,European beech,tree,Broadleaves,Fagales,Fagaceae,Tracheophytes,Angiosperms,Eudicots,Rosids,"EU, north turkey, caucasus"
103,Salix caprea,,,Goat willow,shrub,Shrubs,Malpighiales,Salicaceae,Tracheophytes,Angiosperms,Eudicots,Rosids,
104,Silene dioica,,,Red campion,grass/herb,Forbs,Caryophyllales,Caryophyllaceae,Tracheophytes,Angiosperms,Eudicots,,
105,Erigeron acris,,,Bitter fleabane,grass/herb,Forbs,Asterales,Asteraceae,Tracheophytes,Angiosperms,Monocots,Asterids,
