species_id,species,discovered,variety,common_name,functional_group,functional_group2,order,family,clade1,clade2,clade3,clade4,region
93,Symplocos setchuenensis,Brand,,Szechuan sweetleaf,tree,tree (angiosperms),Ericales,Symplocaceae,Tracheophytes,Angiosperms,Eudicots,Asterids,"china, subtropical"
94,Syranga oblata,,,Broadleaf lilac,shrub,shrub,Lamiales,Oleaceae,Tracheophytes,Angiosperms,Eudicots,Asterids,china
95,Trifolium pratense,,,Red clover,grass/herb,forb,Fabales,Fabaceae,Tracheophytes,Angiosperms,Eudicots,Rosids,"EU, W Asoa, NW Af"
96,Trifolium repens,,,White clover,grass/herb,forb,Fabales,Fabaceae,Tracheophytes,Angiosperms,Eudicots,Rosids,"EU, C Asia"
97,Tsuga heterophylla,,,Western hemlock,tree,tree (gymnosperms),Pinales,Pinaceae,Tracheophytes,Gymnospermae,,,NW coast NA
98,Ulex europaeus,L.,,Gorse,shrub,shrub,Fabales,Fabaceae,Tracheophytes,Angiosperms,Eudicots,Rosids,"EU, Am, NZ, S Af, Aus"
99,Vitex negundo,L.,heterophylla,Chinese chastetree,shrub,shrub,Lamiales,Lamiaceae,Tracheophytes,Angiosperms,Eudicots,Asterids,tropical A S Af + Asia
100,Vicia villosa,,,Hairy vetch,grass/herb,forb,Fabales,Fabaceae,Tracheophytes,Angiosperms,Eudicots,Rosids,US + Can
101,Zea mays,,,Maize,grass/herb,grass,Poales,Poaceae,Tracheophytes,Angiosperms,Monocots,Commelinids,Mex
102,Fagus sylvatica,,,European beech,tree,tree (angiosperms),Fagales,Fagaceae,Tracheophytes,Angiosperms,Eudicots,Rosids,"EU, north turkey, caucasus"
103,Salix caprea,,,Goat willow,shrub,shrub,Malpighiales,Salicaceae,Tracheophytes,Angiosperms,Eudicots,Rosids,
104,Silene dioica,,,Red campion,grass/herb,forb,Caryophyllales,Caryophyllaceae,Tracheophytes,Angiosperms,Eudicots,,
105,Erigeron acris,,,Bitter fleabane,grass/herb,forb,Asterales,Asteraceae,Tracheophytes,Angiosperms,Monocots,Asterids,
